Designators,Quantity,Manufacturer,MPN,Description,Required Qty,Notes
J2,1,,216571-1003,Connector Power Header 3Position 3mm PC Pin Straight Through Hole 3 Terminal 1 Port Tray,5,missing manufacturer
J3,1,,73251-1350,"RF SMA Connector, 1 Contact(s), Female, Board Mount, Surface Mount Terminal, Locking, Jack",5,missing manufacturer
"JP2, JP3",2,,5102,MICRO-MINI 6.9MM SMT JMPR,10,missing manufacturer
"L1, L2",2,,MA5173-AE,Power Inductor - Leaded 7uH Unshield 1% 6.5A 21.5mOhms,10,missing manufacturer
L3,1,,XGL5050-153MEC,"General Purpose Inductor, 15uH, 20%, 1 Element, Composite-Core, SMD, 2221",5,missing manufacturer
L4,1,,CG3885-ALD,"Common Mode Choke, toroid, power line, ferrite core, SMT, RoHS",5,missing manufacturer
"Q1, Q2, Q3",3,,BSC520N15NS3GATMA1,MOSFET N-CH 150V 21A TDSON-8-5,15,missing manufacturer
"R1, R3",2,,ERJ-3EKF2200V,Resistor Thick Film 0603 220 Ohm 1% 1/10W 100ppm/C Molded SMD Punched Carrier T/R,10,missing manufacturer
R2,1,,ERJ-3EKF1000V,RES SMD 100 OHM 1% 1/10W 0603,5,missing manufacturer
R4,1,,ERJ-3EKF4021V,Res Thick Film 0603 4.02K Ohm 1% 0.1W(1/10W) +/-100ppm/ßC SMD Automotive T/R,5,missing manufacturer
"R5, R6",2,,PRL1632-R006-F-T1,"6 mOhms ±1% 1W Chip Resistor Wide 0612 (1632 Metric), Current Sense Thin Film",10,missing manufacturer
"R7, R8, R47, R59, R60, R66, R80",7,,CR0603-J/-000ELF,"Zero Ohm Resistor, Jumper, 0603 [1608 Metric], Thick Film, 100 mW, 1 A, Surface Mount",35,missing manufacturer
R9,1,,RK73H1JTTD49R9F,49.9 Ohm 1% 0.125W(1/8W) ±100ppm/C Pad SMD Automotive T/R Res Thick Film 0603,5,missing manufacturer
"R10, R12, R18, R20, R25, R26, R27, R31, R34, R35, R36, R37, R38, R40, R41, R43, R44, R46",18,,CR0603-J/-000ELF,Thick Film Chip Resistors 0603 0O 0.1W 5%,90,missing manufacturer
"R11, R16, R17, R28, R39, R42",6,,ERJ3EKF1003V,ERJ-3EKF1003V,30,missing manufacturer
"R13, R22, R23",3,,ERJ-3EKF7151V,"7.15 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], SMD Chip Resistor, Thick Film, Precision",15,missing manufacturer
R14,1,,ERJ-3EKF4220V,Res Thick Film 0603 422 Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R,5,missing manufacturer
"R15, R69",2,,ERJ-3EKF7870V,Res Thick Film 0603 787 Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R,10,missing manufacturer
"R19, R30",2,,AT0603FRE0730K1L,Thin Film Chip Resistors Automotive Grade 30.1kO 1% 50ppm/°C 0603,10,missing manufacturer
R21,1,,CRGP0603F10K,Res Thick Film 0603 10K Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD T/R Automotive AEC-Q200,5,missing manufacturer
R24,1,,RC1210FR-072R2L,Res Thick Film 1210 2.2 Ohm 1% 0.5W(1/2W) ±200ppm/C Pad SMD T/R,5,missing manufacturer
R29,1,,CRCW060380K6FKEA,CRCW060380K6FKEA,5,missing manufacturer
R32,1,,CRCW060310M0JNEA,"RES Thick Film, 10MO, 5%, 0.1W, 200ppm/°C, 0603",5,missing manufacturer
R33,1,,CRCW06032R20JNEA,"RES Thick Film, 2.2O, 5%, 0.1W, 200ppm/°C, 0603",5,missing manufacturer
R45,1,,CRCW060349K9FKEA,"RES Thick Film, 49.9kO, 1%, 0.1W, 100ppm/°C, 0603",5,missing manufacturer
"R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R63, R81, R82, R83, R85",16,,CRGP0603F10K,"10 kOhms ±1% 0.25W, 1/4W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",80,missing manufacturer
R61,1,,ERJU03F2003V,"Resistor, thick film, SMD 0603 (1608), 200 k?, 0.1 W, ±1 %, ERJU03F2003V",5,missing manufacturer
R62,1,,ERJ-UP3F2742V,"Fixed Resistor, Metal Glaze/thick Film, 0.25W, 27400ohm, 150V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603",5,missing manufacturer
R64,1,,ERJ-3EKF47R0V,"47 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film",5,missing manufacturer
"R67, R68, R70, R71, R74",5,,ERJ-3GEYJ153V,ERJ-3GEYJ153V,25,missing manufacturer
"R72, R73",2,,CRGCQ1206J100R,CRGCQ1206 100O 0.25W 5% ±200ppm/°C 200V,10,missing manufacturer
R75,1,,RC0603JR-071KL,"Chip Resistor, 1 KOhm, +/- 5%, 0.063 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",5,missing manufacturer
"R78, R79",2,,HRG3216P-1000-B-T1,HRG Series 1206 100 Ohm ±0.1% 1 W ±25 ppm/°C High Power Thin Film Chip Resistor,10,missing manufacturer
R84,1,,ERA-3AEB363V,Res Thin Film 0603 36K Ohm 0.1% 0.1W ±25ppm/°C Molded SMD Punched Carrier T/R,5,missing manufacturer
"TP1, TP2",2,,5000,"Cable Wrap, 1/2 Inch, Polyethylene, Natural, 50 Ft, Spirap Series | TE Connectivity 500002-1",10,missing manufacturer
"TP3, TP4",2,,5001,"Test Point, Mini, Thm, Pc, .300 L, .100 Od, Heat Resistant Nylon 46, Black",10,missing manufacturer
U1,1,,TPS1HB08BQPWPRQ1,Power Switch Single-Channel Smart High-Side 40V 8mOhm 16-Pin HTSSOP T/R,5,missing manufacturer
U3,1,,ADPL13602BATE+,Conv DC-DC 3.5V to 36V Synchronous Step Down Single-Out 1V to 32.4V 2.4A 16-Pin TQFN EP,5,missing manufacturer
"U5, U6",2,,INA228AQDGSRQ1,"85V, 20-bit I²C-output E3-driver-capable current, voltage, power, energy, charge monitor with alert 10-VSSOP -40 to 125",10,missing manufacturer
U6,1,,LTC3895EFE#PBF,DC/DC Cntrlr Single-OUT Step Down 900kHz Automotive 31-Pin TSSOP EP Tube,5,missing manufacturer
U7,1,,ISO1540QDRQ1,"Automotive, 2.5-kVrms, isolated bidirectional clock, bidirectional I2C isolator 8-SOIC -40 to 125",5,missing manufacturer
U8,1,,ISO7721FDR,"Robust EMC, dual-channel, 1/1, reinforced digital isolator 8-SOIC -55 to 125",5,missing manufacturer
U9,1,,NXJ2S0505MC-R7,Module DC-DC 5VIN 1-OUT 5V 0.4A 2W 8-Pin SMD Module T/R,5,missing manufacturer
U10,1,,TQL850CSV33 RLG,"Fixed Positive LDO Regulator, 3.3V, 0.425V Dropout, PDSO8",5,missing manufacturer
X1,1,,RL3720WT-R005-F,5 mOhms 1% 0-350 PPM RL Series 0815 1 W High Power Metal Film Chip Resistor,5,missing manufacturer
