Designators,Quantity,Manufacturer,MPN,Description,Required Qty,Notes
"D1, D2",2,,FSV20150V,FSV Series Single 150 V 270 A Surface Mount Schottky Rectifier - TO-277A,2,mpn filled from name fallback; missing manufacturer
D3,1,Vishay Semiconductors,SMBJ3V3-E3/5B,"Trans Voltage Suppressor Diode, 600W, 3.3V V(RWM), Unidirectional, 1 Element, Silicon, DO-214AA",1,
"D15, D16, D18",3,,SMCJ13A,ESD Protection / TVS Diodes 1.5kW 13V 5% Uni-Directional,3,mpn filled from name fallback; missing manufacturer
F1,1,,0685P9200-01,"Electric Fuse, Fast Blow, 20A, 50VAC, 50VDC, 150A (IR), Surface Mount, 1206",1,mpn filled from name fallback; missing manufacturer
HT1,1,,,"Heat Sinks Heat Sink for DC/DC Converters, Eighth Brick, 57.9x55x23.9mm, 6 Fins",1,manual review: name column may contain part number; missing mpn; missing manufacturer
L4,1,Laird Steward,CM5441Z161B-10,"Ferrite EMI Common Mode Chokes 160ohms 100MHz 75A 1 Choke, Thru-hole",1,
P7,1,TE Connectivity,2013499-1,Conn Micro USB 2.0 Type B RCP 5 POS 0.65mm Solder RA SMD 5 Terminal 1 Port T/R,1,combined field parsed: manufacturer from name; combined field parsed: mpn from name
"P3, P4",2,TE-Connectivity,2345986-1,Conn USB Type C PL 24 POS 0.5mm RA SMD Single Port Carton,2,combined field parsed: manufacturer from name; combined field parsed: mpn from name
P1,1,TE Connectivity,2-1445100-4,Conn Power HDR 4 POS 3mm Solder RA SMD 4 Terminal 1 Port Tape,1,combined field parsed: manufacturer from name; combined field parsed: mpn from name
"Q3, Q4",2,ON Semiconductor,2N7002KT1G,MOSFET N-CH 60V 320MA SOT-23,2,
"Q1, Q2",2,Infineon,BSC520N15NS3GATMA1,Single N-Channel 150 V 52 mOhm 8.7 nC OptiMOS Power Mosfet - TDSON-8,2,
R31,1,Yageo,RC0603JR-073K3L,RES SMD 3.3K OHM 5% 1/10W 0603,1,
"R26, R27, R28, R33, R34, R35, R36",7,KOA Speer,RK73B1JTTD471J,RK73B1JTTD471J,7,
"R15, R16, R18, R19",4,Yageo,RT0603FRE071K5L,RES SMD 1.5K OHM 1% 1/10W 0603,4,
R3,1,Susumu,RL3720WT-R050-F,Res Thin Film 0815 0.05 Ohm 1% 1W 0ppm/C to 350ppm/C Wide Terminal SMD Automotive T/R,1,
R11,1,KOA Speer,RK73H1JTTD4991D,4.99kΩ ±0.5% 0.1W Chip Resistor 0603 Thick Film AEC-Q200 Qualified,1,
"R4, RT1",2,,ERA-8AEB5903V,"Fixed Resistor, Thin Film, 0.25W, 590000ohm, 150V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 1206",2,mpn filled from name fallback; missing manufacturer
R5,1,KOA Speer,RK73H1JTTD1303F,Thick Film Resistors - SMD 1/10watt 130Kohms 1%,1,
"R25, R29, R30",3,Yageo,RC1210JR-0710KL,RC1210JR-0710KL,3,
"R38, R44, R45, R47, R48",5,Yageo,RC0603FR-070RL,RES SMD 0 OHM JUMPER 1/10W 0603,5,
R10,1,Panasonic,ERA-6AEB1403V,Thin Film Resistors - SMD 0805 140Kohm 0.1% 25ppm,1,
"R17, R24, RB1",3,Panasonic,ERA-6AEB1872V,Thin Film Resistors - SMD 0805 18.7Kohm 0.1% 25ppm,3,
R32,1,TE Connectivity,CRG0603F10K,"Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel",1,
"R12, R14",2,Vishay Dale,CRCW06031R00JNEA,"RES Thick Film, 1Ω, 5%, 0.1W, 200ppm/°C, 0603",2,
RVB1,1,KOA Speer,RK73H1JTTD3482F,Thick Film Resistors - SMD 1/10watts 34.8Kohms 1%,1,
RVT1,1,KOA Speer,RK73H1JTTD2213F,Thick Film Resistors - SMD 1/10watt 221Kohms 1%,1,
U6,1,Taiwan Semiconductor,TQL850CSV33RLG,LDO Regulator Positive 3.3V 500mA 8-Pin SOP EP T/R,1,
U7,1,Texas Instruments,ISO7720DR,DGTL ISO 3000VRMS 2CH GP 8SOIC,1,
U5,1,Texas Instruments,ISO1540QDRQ1,AUTO ISO I2C 2500VRMS 2CH 8SOIC,1,
U3,1,Texas Instruments,INA237AIDGSR,"85-V, 16-BIT, I2C OUTPUT CURRENT",1,
U4,1,Analog Devices / Linear Technology,LT3758AHMSE#PBF,"High Input Voltage, Boost, Flyback, SEPIC and Inverting Controller-Improved Load Transient, 10-pin SOP (MSE-10-EDP), -40 to 150 degC, Pb-Free",1,
"C1, C2, C3, C4, C5, C6, C7, C8, C13, C15, C21, C22, C28, C34, C35, C42, C43, C46",18,TDK,C3216X5R1V226M160AC,Multilayer Ceramic Capacitors 22uF ±20% 35V X5R SMD 1206,18,
"C10, C11, C12, C18, C19, C69, C70, C71, C72, C73, C74",11,KYOCERA AVX,22201C106MAT2A,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 10uF X7R 2220 20%,11,
C17,1,TDK,CGA4J1X7R1V475K125AC,Cap Ceramic 4.7uF 35V X7R 10% Pad SMD 0805 +125°C Automotive T/R,1,
"C59, C60",2,Murata,GRM188R6YA106MA73J,"Ceramic Capacitor, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603",2,
C61,1,TAIYO YUDEN,UMK107BJ474KAHT,UMK107BJ474KAHT,1,
"C62, C76",2,Vishay,MAL215099103E3,CAP ALUM 220UF 20% 50V SMD,2,
C63,1,TDK,C3216X5R1E476M160AC,Multilayer Ceramic Capacitors 47uF ±20% 25V X5R SMD 1206,1,
C64,1,Yageo Group,C0603C681J5GACTU,CAP CER 680PF 50V C0G/NP0 0603,1,
C75,1,Vishay,MAL215099907E3,MAL215099907E3 Cap Aluminum 100uF 100V 20% (12.5 X 13mm) Cylindrical 660mA 5000 hr 105°C Blister T/R,1,
C77,1,TDK,C1608X7R1H104K080AA,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% -Tol, X7R, 15% Tc, 0.1Uf, Surface Mount, 0603",1,
C78,1,TDK,C2012X7R2E103K125AA,C Series 0805 10 nF 250 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor,1,
D17,1,onsemi,MBRA340T3G,"Schottky Power Rectifier, 2-Pin SMA, Pb-Free, Tape and Reel",1,
J1,1,Molex,73251-1350,"RF SMA Connector, 1 Contact(s), Female, Board Mount, Surface Mount Terminal, Locking, Jack",1,
L1,1,Coilcraft,AGP4233-223ME,Fixed Inductors 22uH Magnetic Shielded 20% 24A 2.95mOhms AEC Qualified,1,
L5,1,,XEL4030-472MEC,Fixed Inductors 4.7uH Shld 20% 5.1A 44.1mOhms AECQ2,1,mpn filled from name fallback; missing manufacturer
L6,1,Coilcraft,MA5173-AE,"Power inductor, for TI TAS5612/5614, RoHS, halogen-free",1,
P2,1,TE-Connectivity,6-292161-6,"PCB Mount Header, Vertical, Wire-to-Board, 6 Position, 2 mm [.079 in] Centerline, Partially Shrouded, Tin, Through Hole - Solder, AMP CT",1,combined field parsed: manufacturer from name; combined field parsed: mpn from name
P5,1,TE Connectivity,1-350942-0,Pin & Socket Connectors 2 POS STD RT ANGLE,1,
P6,1,TE Connectivity / AMP,2-1445056-2,Pin & Socket Connectors MICRO MNL HDR ASSY SINGLE ROW,1,
PS1,1,TDK-Lambda,CC6-1212SR-E,Module DC-DC 12VIN 1-OUT 12V 0.5A 6W 7-Pin PDIP SMD,1,
R13,1,Vishay,WSLP25125L000FEA,WSLP25125L000FEA Res Metal Strip 2512 0.005 Ohm 1% 3W ±110ppm/C Sulfur Resistant Pad SMD Automotive T/R,1,
"R20, R21, R22, R23",4,TE Connectivity,CRGP0603F10K,Res Thick Film 0603 10K Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD T/R Automotive AEC-Q200,4,
R37,1,KOA Speer,RK73H1JTTD1622F,RK73H1JTTD1622F,1,
R39,1,Panasonic,ERJ-3EKF6342V,ERJ-3EKF6342V,1,
R40,1,Panasonic,ERJ-3GEYJ153V,ERJ-3GEYJ153V,1,
R41,1,TE Connectivity,CRGCQ0603F100K,CRGCQ 0603 100K 1%,1,
R42,1,Yageo Group,RT0603FRE07536KL,RES SMD 536K OHM 1% 1/10W 0603,1,
R43,1,Vishay,WSHP28185L000FEA,Res Current Sense Metal Strip 2818 5m Ohm 1% 10W ±200ppm/°C Molded T/R,1,
R46,1,TE Connectivity,CRGP0603F10K,"10 kOhms ±1% 0.25W, 1/4W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",1,
"TP1, TP2, TP7, TP8",4,Keystone,5000,"Cable Wrap, 1/2 Inch, Polyethylene, Natural, 50 Ft, Spirap Series",4,
"TP5, TP6, TP11, TP12",4,Keystone,5001,"Test Point, Mini, Thm, Pc, .300 L, .100 Od, Heat Resistant Nylon 46, Black",4,
U8,1,Analog Devices,LT1913EDD#PBF,"3.5 A, 2.4 MHz Step-Down Switching Regulator, 10-pin SON (DD-10), -40 to 125 degC, Pb-Free",1,
U9,1,Texas Instruments,INA228AIDGSR,"85V, 20-bit I²C-output E3-driver-capable current, voltage, power, energy, charge monitor with alert 10-VSSOP -40 to 125",1,
